"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.1"
"04/21/2025 23:44:25:358 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [wealth] of investors","mean [profit] of turtles-on patches","mean [risk-of-failing] of turtles-on patches","total-business-failures"
"17","25","0","5000","0.1","2","25","105","15","9","50","272420.7948011121","8253.745201714148","0.023624665271139756","47"
"16","25","0","5000","0.1","2","25","105","15","9","50","368986.2744610278","11492.497290203386","0.0263295748623678","40"
"18","25","0","5000","0.1","2","25","105","15","9","50","219180.29939107675","6563.951109866978","0.026744760312758162","49"
"19","25","0","5000","0.1","2","25","105","15","9","50","285731.43356940616","8717.555506714887","0.02874107443149265","39"
"20","25","0","5000","0.1","2","25","105","15","9","50","301936.58525607974","7816.721144622957","0.021670339107983154","33"
"22","25","0","5000","0.1","3","25","105","15","9","50","282358.842072629","9421.374606837964","0.02518450503178991","41"
"21","25","0","5000","0.1","3","25","105","15","9","50","374079.8941324889","9965.336273904391","0.019025471790055672","23"
"26","25","0","5000","0.1","3","25","105","15","9","50","268930.70646084304","8713.771866279989","0.024659030452409417","43"
"23","25","0","5000","0.1","3","25","105","15","9","50","281315.57706263935","7394.128535053613","0.02209443948272662","36"
"28","25","0","5000","0.1","3","25","105","15","9","50","259726.01921781217","7217.7624715048005","0.020768510388618502","49"
"25","25","0","5000","0.1","3","25","105","15","9","50","301079.3283063406","10072.123039087255","0.024244153222087696","38"
"27","25","0","5000","0.1","3","25","105","15","9","50","354825.82907688146","8752.43704640076","0.023467935249608007","42"
"24","25","0","5000","0.1","3","25","105","15","9","50","388708.11182974844","8901.654158433852","0.017990443181966593","38"
"29","25","0","5000","0.1","3","25","105","15","9","50","456015.1655101808","9542.166913250185","0.014849641430591181","17"
"30","25","0","5000","0.1","3","25","105","15","9","50","366448.649744153","9769.298924483228","0.024190658851407486","31"
"34","25","0","5000","0.1","4","25","105","15","9","50","294518.1016562961","8491.565439592046","0.02901537327009902","42"
"31","25","0","5000","0.1","4","25","105","15","9","50","296187.9472911779","8032.10914625544","0.026985578905923742","35"
"32","25","0","5000","0.1","4","25","105","15","9","50","255422.87666724672","7761.192329052777","0.025424588280850775","45"
"36","25","0","5000","0.1","4","25","105","15","9","50","325030.0696280881","7897.896230874928","0.019677468982947633","32"
"37","25","0","5000","0.1","4","25","105","15","9","50","306637.72885917756","9283.409824558626","0.020036702543720388","37"
"35","25","0","5000","0.1","4","25","105","15","9","50","269607.4298471213","9569.918943592116","0.03203207020904488","35"
"33","25","0","5000","0.1","4","25","105","15","9","50","202788.77795405584","7071.732149119311","0.02207245874434126","42"
"38","25","0","5000","0.1","4","25","105","15","9","50","236416.36368574578","6874.745836632438","0.023506387715656288","36"
"40","25","0","5000","0.1","4","25","105","15","9","50","282218.5304132325","6466.068621250093","0.020436877190271055","38"
"43","25","0","5000","0.1","5","25","105","15","9","50","227636.42886595294","6978.828261356998","0.028487034042844493","37"
"41","25","0","5000","0.1","5","25","105","15","9","50","382577.0579279342","8573.797868206118","0.020836587799629318","38"
"42","25","0","5000","0.1","5","25","105","15","9","50","274643.13228794036","8996.105957598484","0.029854645925755676","30"
"39","25","0","5000","0.1","4","25","105","15","9","50","338545.98994708335","9006.8135869454","0.02005855169543398","33"
"48","25","0","5000","0.1","5","25","105","15","9","50","310567.8664955932","9750.175102471207","0.018958899409513816","51"
"45","25","0","5000","0.1","5","25","105","15","9","50","246795.59990423123","9028.90616741168","0.02331702077829861","34"
"49","25","0","5000","0.1","5","25","105","15","9","50","280121.04638663656","9145.263572054979","0.017857288086918183","40"
"46","25","0","5000","0.1","5","25","105","15","9","50","379391.8300375058","9275.454136421398","0.021749348969365454","21"
"47","25","0","5000","0.1","5","25","105","15","9","50","285523.022264054","8144.658671431421","0.029519196897475435","43"
"50","25","0","5000","0.1","5","25","105","15","9","50","259855.87103058855","8502.990227131293","0.026427202146027704","48"
"52","25","0","5000","0.1","6","25","105","15","9","50","327511.4268194521","6535.791382791017","0.017056754558044063","33"
"44","25","0","5000","0.1","5","25","105","15","9","50","423275.07762109436","8536.902360665474","0.017662854132288824","31"
"53","25","0","5000","0.1","6","25","105","15","9","50","316804.03920689115","8217.205129511578","0.01869206905986971","37"
"51","25","0","5000","0.1","6","25","105","15","9","50","209007.8757045839","7197.628385352858","0.02932793521476228","38"
"55","25","0","5000","0.1","6","25","105","15","9","50","366072.8456975244","9212.400952858132","0.021986948990341273","32"
"58","25","0","5000","0.1","6","25","105","15","9","50","314749.7073254931","7158.991896627138","0.019295188808874687","36"
"57","25","0","5000","0.1","6","25","105","15","9","50","292688.68130793393","7016.915922847696","0.015729591996845965","29"
"56","25","0","5000","0.1","6","25","105","15","9","50","357969.3667883713","9502.795352025758","0.01917370419144225","28"
"54","25","0","5000","0.1","6","25","105","15","9","50","255085.3250710118","8096.591048590606","0.021292616874741335","37"
"61","25","0","5000","0.1","7","25","105","15","9","50","292291.03504541336","8566.109820712985","0.0337346047599361","36"
"59","25","0","5000","0.1","6","25","105","15","9","50","374307.8796242941","9748.995300802588","0.024791078806454658","33"
"60","25","0","5000","0.1","6","25","105","15","9","50","350899.9129758305","9312.448154347718","0.02153197658885811","38"
"64","25","0","5000","0.1","7","25","105","15","9","50","334747.9139255124","9237.41418163036","0.01959120309220177","37"
"63","25","0","5000","0.1","7","25","105","15","9","50","356701.20940344513","8714.6696911101","0.023676026780361726","24"
"65","25","0","5000","0.1","7","25","105","15","9","50","237203.9413643153","8932.730718957282","0.025941786566225932","43"
"62","25","0","5000","0.1","7","25","105","15","9","50","337527.10342503956","10337.35929222089","0.01922443909455114","36"
"70","25","0","5000","0.1","7","25","105","15","9","50","347151.511928843","7121.209629207701","0.02049192870608372","41"
"66","25","0","5000","0.1","7","25","105","15","9","50","328403.5934774114","9401.056213776767","0.025207235938931892","35"
"69","25","0","5000","0.1","7","25","105","15","9","50","329844.5718403321","9112.445786193093","0.02148965694734998","37"
"68","25","0","5000","0.1","7","25","105","15","9","50","318578.24929959635","8024.479523757043","0.01878100378363619","32"
"72","25","0","5000","0.1","8","25","105","15","9","50","280759.6896176739","7809.6136506778785","0.01917400875720533","21"
"73","25","0","5000","0.1","8","25","105","15","9","50","292822.96260258794","8807.47673173402","0.019771558545753135","38"
"67","25","0","5000","0.1","7","25","105","15","9","50","269292.50067319465","8348.718097875104","0.026655585623209258","43"
"71","25","0","5000","0.1","8","25","105","15","9","50","268071.9592378237","8515.124778205272","0.02044494509149496","42"
"74","25","0","5000","0.1","8","25","105","15","9","50","357443.0017094924","10506.944025407913","0.02270695172755664","28"
"77","25","0","5000","0.1","8","25","105","15","9","50","239418.45646923146","7830.190516394931","0.021898451695340784","33"
"78","25","0","5000","0.1","8","25","105","15","9","50","388783.2416414635","9209.149606811787","0.017920263009796912","28"
