"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-10-4-2.nlogo"
"Figure 10.1.1"
"04/22/2025 02:25:05:338 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","sensing-radius","investors-color","businesses-color","failed-businesses-color","[step]","mean [wealth] of investors","standard-deviation [wealth] of investors"
"88","25","0","5000","0.1","5","8","25","105","45","50","651579.3013913482","311311.1587937338"
"87","25","0","5000","0.1","5","8","25","105","45","50","684951.8487048355","355147.88915677957"
"89","25","0","5000","0.1","5","8","25","105","45","50","694907.8234540351","253730.04355743778"
"90","25","0","5000","0.1","5","8","25","105","45","50","620415.4746769733","347227.53424989054"
"91","25","0","5000","0.1","5","9","25","105","45","50","526987.6020596757","341518.5700892318"
"92","25","0","5000","0.1","5","9","25","105","45","50","714502.4304697877","530656.0728826084"
"93","25","0","5000","0.1","5","9","25","105","45","50","679262.4051955114","447014.9081580637"
"94","25","0","5000","0.1","5","9","25","105","45","50","579647.770939221","313326.32620089804"
"96","25","0","5000","0.1","5","9","25","105","45","50","635848.1007790688","388835.6492146975"
"99","25","0","5000","0.1","5","9","25","105","45","50","644421.6125444622","360286.0690503177"
"95","25","0","5000","0.1","5","9","25","105","45","50","717431.4043403246","475490.33881353174"
"98","25","0","5000","0.1","5","9","25","105","45","50","575938.4094767713","399584.1326245706"
"97","25","0","5000","0.1","5","9","25","105","45","50","831903.9028462502","501973.4038680483"
"100","25","0","5000","0.1","5","9","25","105","45","50","763344.8805875968","485716.0169645699"
"102","25","0","5000","0.1","5","10","25","105","45","50","578726.8508472465","355082.03473283444"
"101","25","0","5000","0.1","5","10","25","105","45","50","686672.4783143261","377520.0389295839"
"103","25","0","5000","0.1","5","10","25","105","45","50","537954.2849112703","287486.80526860117"
"105","25","0","5000","0.1","5","10","25","105","45","50","837035.8272207035","494386.74571430264"
"106","25","0","5000","0.1","5","10","25","105","45","50","857125.467802922","458064.7041049644"
"107","25","0","5000","0.1","5","10","25","105","45","50","743634.7102336156","406656.7508461494"
"108","25","0","5000","0.1","5","10","25","105","45","50","744503.7968233709","426760.23479403084"
"104","25","0","5000","0.1","5","10","25","105","45","50","685889.3981795418","390794.4656084382"
"109","25","0","5000","0.1","5","10","25","105","45","50","648524.0435781382","340246.2946797054"
"110","25","0","5000","0.1","5","10","25","105","45","50","708876.4470712533","332942.34240365"
