"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.2"
"04/21/2025 23:45:31:464 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [risk-of-failing] of turtles-on patches"
"7","25","0","5000","0.1","1","25","105","15","9","22","0.029950067914122976"
"9","25","0","5000","0.1","1","25","105","15","9","29","0.02175033192379645"
"5","25","0","5000","0.1","1","25","105","15","9","22","0.02774233031244872"
"3","25","0","5000","0.1","1","25","105","15","9","19","0.0265119046570906"
"8","25","0","5000","0.1","1","25","105","15","9","17","0.03663632990884497"
"9","25","0","5000","0.1","1","25","105","15","9","30","0.021750331923796454"
"5","25","0","5000","0.1","1","25","105","15","9","23","0.02697603788543609"
"3","25","0","5000","0.1","1","25","105","15","9","20","0.029578009838463308"
"4","25","0","5000","0.1","1","25","105","15","9","15","0.03072886112282984"
"9","25","0","5000","0.1","1","25","105","15","9","31","0.021719364229437835"
"5","25","0","5000","0.1","1","25","105","15","9","24","0.025716714980004256"
"6","25","0","5000","0.1","1","25","105","15","9","31","0.026899286809168865"
"3","25","0","5000","0.1","1","25","105","15","9","21","0.029071727138418973"
"2","25","0","5000","0.1","1","25","105","15","9","18","0.03695101400152718"
"7","25","0","5000","0.1","1","25","105","15","9","23","0.031198422518514537"
"9","25","0","5000","0.1","1","25","105","15","9","32","0.021417736546781037"
"1","25","0","5000","0.1","1","25","105","15","9","18","0.03199458922521325"
"5","25","0","5000","0.1","1","25","105","15","9","25","0.025088046380804085"
"4","25","0","5000","0.1","1","25","105","15","9","16","0.031556247103784775"
"3","25","0","5000","0.1","1","25","105","15","9","22","0.02688578575334449"
"7","25","0","5000","0.1","1","25","105","15","9","24","0.030258549619414484"
"9","25","0","5000","0.1","1","25","105","15","9","33","0.027928855231242545"
"6","25","0","5000","0.1","1","25","105","15","9","32","0.02155446665455884"
"8","25","0","5000","0.1","1","25","105","15","9","18","0.036391850610057806"
"3","25","0","5000","0.1","1","25","105","15","9","23","0.02827559933640696"
"7","25","0","5000","0.1","1","25","105","15","9","25","0.0313016486730473"
"1","25","0","5000","0.1","1","25","105","15","9","19","0.03150097138638205"
"9","25","0","5000","0.1","1","25","105","15","9","34","0.020673124845489797"
"4","25","0","5000","0.1","1","25","105","15","9","17","0.03271150698784572"
"2","25","0","5000","0.1","1","25","105","15","9","19","0.03447566406265669"
"3","25","0","5000","0.1","1","25","105","15","9","24","0.02899274892040681"
"9","25","0","5000","0.1","1","25","105","15","9","35","0.02145932268592549"
"1","25","0","5000","0.1","1","25","105","15","9","20","0.030201544868983448"
"5","25","0","5000","0.1","1","25","105","15","9","26","0.025412509034648187"
"9","25","0","5000","0.1","1","25","105","15","9","36","0.021459322685925483"
"8","25","0","5000","0.1","1","25","105","15","9","19","0.036815501824410374"
"4","25","0","5000","0.1","1","25","105","15","9","18","0.031644974727810644"
"5","25","0","5000","0.1","1","25","105","15","9","27","0.027406274611544244"
"6","25","0","5000","0.1","1","25","105","15","9","33","0.025471880245852632"
"7","25","0","5000","0.1","1","25","105","15","9","26","0.03096715679510538"
"2","25","0","5000","0.1","1","25","105","15","9","20","0.029231389926203288"
"4","25","0","5000","0.1","1","25","105","15","9","19","0.028840258779464726"
"1","25","0","5000","0.1","1","25","105","15","9","21","0.02883708856053962"
"9","25","0","5000","0.1","1","25","105","15","9","37","0.02145932268592549"
"3","25","0","5000","0.1","1","25","105","15","9","25","0.026675578540965663"
"6","25","0","5000","0.1","1","25","105","15","9","34","0.02582716260990743"
"7","25","0","5000","0.1","1","25","105","15","9","27","0.028596183443936458"
"5","25","0","5000","0.1","1","25","105","15","9","28","0.029351948967976424"
"8","25","0","5000","0.1","1","25","105","15","9","20","0.03850085454514445"
"9","25","0","5000","0.1","1","25","105","15","9","38","0.02126477274549671"
"7","25","0","5000","0.1","1","25","105","15","9","28","0.02585544362555325"
"3","25","0","5000","0.1","1","25","105","15","9","26","0.026675578540965666"
"4","25","0","5000","0.1","1","25","105","15","9","20","0.02685474277901694"
"6","25","0","5000","0.1","1","25","105","15","9","35","0.02699706767128399"
"2","25","0","5000","0.1","1","25","105","15","9","21","0.024909586797555817"
"9","25","0","5000","0.1","1","25","105","15","9","39","0.02164512958425629"
"7","25","0","5000","0.1","1","25","105","15","9","29","0.025844845055264645"
"5","25","0","5000","0.1","1","25","105","15","9","29","0.027458218047931398"
"1","25","0","5000","0.1","1","25","105","15","9","22","0.025777413136278706"
"8","25","0","5000","0.1","1","25","105","15","9","21","0.039613306771136336"
"5","25","0","5000","0.1","1","25","105","15","9","30","0.026257141587028167"
"4","25","0","5000","0.1","1","25","105","15","9","21","0.02525292811486124"
"9","25","0","5000","0.1","1","25","105","15","9","40","0.0216451295842563"
"3","25","0","5000","0.1","1","25","105","15","9","27","0.027411639719567428"
"7","25","0","5000","0.1","1","25","105","15","9","30","0.02707233582872813"
"8","25","0","5000","0.1","1","25","105","15","9","22","0.037595254582225394"
"6","25","0","5000","0.1","1","25","105","15","9","36","0.022679476084310254"
"5","25","0","5000","0.1","1","25","105","15","9","31","0.025026153650026976"
"4","25","0","5000","0.1","1","25","105","15","9","22","0.028025982795434418"
"2","25","0","5000","0.1","1","25","105","15","9","22","0.03134530941531268"
"1","25","0","5000","0.1","1","25","105","15","9","23","0.029077452182150534"
"7","25","0","5000","0.1","1","25","105","15","9","31","0.027436586941518976"
"3","25","0","5000","0.1","1","25","105","15","9","28","0.027411639719567435"
"2","25","0","5000","0.1","1","25","105","15","9","23","0.027105750685958847"
"8","25","0","5000","0.1","1","25","105","15","9","23","0.04017619854663437"
"9","25","0","5000","0.1","1","25","105","15","9","41","0.02164512958425629"
"4","25","0","5000","0.1","1","25","105","15","9","23","0.028185606823011265"
"5","25","0","5000","0.1","1","25","105","15","9","32","0.027101530063222162"
"6","25","0","5000","0.1","1","25","105","15","9","37","0.02722980062153173"
"7","25","0","5000","0.1","1","25","105","15","9","32","0.024928918633442983"
"8","25","0","5000","0.1","1","25","105","15","9","24","0.03518108543670643"
"1","25","0","5000","0.1","1","25","105","15","9","24","0.03211976732224231"
"5","25","0","5000","0.1","1","25","105","15","9","33","0.026913062094540537"
"6","25","0","5000","0.1","1","25","105","15","9","38","0.026165065764414113"
"3","25","0","5000","0.1","1","25","105","15","9","29","0.027283112975477652"
"2","25","0","5000","0.1","1","25","105","15","9","24","0.027934459797402212"
"7","25","0","5000","0.1","1","25","105","15","9","33","0.032854559811792756"
"9","25","0","5000","0.1","1","25","105","15","9","42","0.021919240005578395"
"2","25","0","5000","0.1","1","25","105","15","9","25","0.026447056640126785"
"6","25","0","5000","0.1","1","25","105","15","9","39","0.026165065764414113"
"8","25","0","5000","0.1","1","25","105","15","9","25","0.03805920305156932"
"5","25","0","5000","0.1","1","25","105","15","9","34","0.025690309452529744"
"7","25","0","5000","0.1","1","25","105","15","9","34","0.03215030486394766"
"5","25","0","5000","0.1","1","25","105","15","9","35","0.02503546711991654"
"1","25","0","5000","0.1","1","25","105","15","9","25","0.027527567046142776"
"3","25","0","5000","0.1","1","25","105","15","9","30","0.02861283909722596"
"9","25","0","5000","0.1","1","25","105","15","9","43","0.02308888460490808"
"4","25","0","5000","0.1","1","25","105","15","9","24","0.028185606823011265"
"2","25","0","5000","0.1","1","25","105","15","9","26","0.03134806293312987"
"7","25","0","5000","0.1","1","25","105","15","9","35","0.03118852582474765"
"5","25","0","5000","0.1","1","25","105","15","9","36","0.02681171714016508"
"6","25","0","5000","0.1","1","25","105","15","9","40","0.02616506576441411"
"4","25","0","5000","0.1","1","25","105","15","9","25","0.025994504572761295"
"9","25","0","5000","0.1","1","25","105","15","9","44","0.023260015248133963"
"8","25","0","5000","0.1","1","25","105","15","9","26","0.03657027676811474"
"1","25","0","5000","0.1","1","25","105","15","9","26","0.027756378351763648"
"3","25","0","5000","0.1","1","25","105","15","9","31","0.03152869926524103"
"5","25","0","5000","0.1","1","25","105","15","9","37","0.028370889772867433"
"2","25","0","5000","0.1","1","25","105","15","9","27","0.030709255847276684"
"7","25","0","5000","0.1","1","25","105","15","9","36","0.032309304660359056"
"6","25","0","5000","0.1","1","25","105","15","9","41","0.023925209879498265"
"4","25","0","5000","0.1","1","25","105","15","9","26","0.02818560682301127"
"9","25","0","5000","0.1","1","25","105","15","9","45","0.024027806227588943"
"8","25","0","5000","0.1","1","25","105","15","9","27","0.03345798244198167"
"5","25","0","5000","0.1","1","25","105","15","9","38","0.02304118588821651"
"1","25","0","5000","0.1","1","25","105","15","9","27","0.02815839495875438"
"3","25","0","5000","0.1","1","25","105","15","9","32","0.02699573448193056"
"5","25","0","5000","0.1","1","25","105","15","9","39","0.024818039235218022"
"2","25","0","5000","0.1","1","25","105","15","9","28","0.03376574153695297"
"9","25","0","5000","0.1","1","25","105","15","9","46","0.02196733245852393"
"4","25","0","5000","0.1","1","25","105","15","9","27","0.028185606823011265"
"7","25","0","5000","0.1","1","25","105","15","9","37","0.028105098068685476"
"6","25","0","5000","0.1","1","25","105","15","9","42","0.027559947287106968"
