"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-10-4-2.nlogo"
"Figure 10.1.2"
"04/22/2025 02:27:19:289 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","sensing-radius","investors-color","businesses-color","failed-businesses-color","[step]","mean [wealth] of investors"
"6","25","0","5000","0.1","5","0","25","105","45","20","56531.42689040061"
"4","25","0","5000","0.1","5","0","25","105","45","18","38931.20773943633"
"3","25","0","5000","0.1","5","0","25","105","45","18","83645.03596176633"
"9","25","0","5000","0.1","5","0","25","105","45","21","15998.169080062044"
"7","25","0","5000","0.1","5","0","25","105","45","22","50757.50035677839"
"2","25","0","5000","0.1","5","0","25","105","45","18","37185.74724320624"
"4","25","0","5000","0.1","5","0","25","105","45","19","41094.05261384946"
"9","25","0","5000","0.1","5","0","25","105","45","22","15887.024952582731"
"3","25","0","5000","0.1","5","0","25","105","45","19","88291.98240408668"
"1","25","0","5000","0.1","5","0","25","105","45","18","60864.03805624091"
"7","25","0","5000","0.1","5","0","25","105","45","23","53064.65946390469"
"5","25","0","5000","0.1","5","0","25","105","45","21","46379.89192379674"
"6","25","0","5000","0.1","5","0","25","105","45","21","59357.99823492064"
"8","25","0","5000","0.1","5","0","25","105","45","16","32349.768952606293"
"9","25","0","5000","0.1","5","0","25","105","45","23","11756.900944561163"
"4","25","0","5000","0.1","5","0","25","105","45","20","43256.89748826259"
"2","25","0","5000","0.1","5","0","25","105","45","19","39251.62209005104"
"3","25","0","5000","0.1","5","0","25","105","45","20","92938.92884640703"
"7","25","0","5000","0.1","5","0","25","105","45","24","55371.81857103097"
"1","25","0","5000","0.1","5","0","25","105","45","19","57827.9298688883"
"9","25","0","5000","0.1","5","0","25","105","45","24","12268.070550846429"
"6","25","0","5000","0.1","5","0","25","105","45","22","62184.56957944068"
"8","25","0","5000","0.1","5","0","25","105","45","17","34371.62951214419"
"2","25","0","5000","0.1","5","0","25","105","45","20","41317.49693689583"
"5","25","0","5000","0.1","5","0","25","105","45","22","48588.45820588229"
"9","25","0","5000","0.1","5","0","25","105","45","25","12779.240157131697"
"4","25","0","5000","0.1","5","0","25","105","45","21","45419.74236267572"
"7","25","0","5000","0.1","5","0","25","105","45","25","57678.977678157265"
"6","25","0","5000","0.1","5","0","25","105","45","23","65011.1409239607"
"3","25","0","5000","0.1","5","0","25","105","45","21","97585.87528872736"
"8","25","0","5000","0.1","5","0","25","105","45","18","31406.91254550215"
"9","25","0","5000","0.1","5","0","25","105","45","26","12646.932311368608"
"1","25","0","5000","0.1","5","0","25","105","45","20","55748.29521102165"
"6","25","0","5000","0.1","5","0","25","105","45","24","64035.80666753331"
"2","25","0","5000","0.1","5","0","25","105","45","21","43383.37178374062"
"3","25","0","5000","0.1","5","0","25","105","45","22","102232.82173104775"
"5","25","0","5000","0.1","5","0","25","105","45","23","50797.02448796786"
"1","25","0","5000","0.1","5","0","25","105","45","21","55383.07020053184"
"8","25","0","5000","0.1","5","0","25","105","45","19","33151.74102025226"
"7","25","0","5000","0.1","5","0","25","105","45","26","59986.136785283554"
"4","25","0","5000","0.1","5","0","25","105","45","22","47582.58723708884"
"6","25","0","5000","0.1","5","0","25","105","45","25","66703.96527868052"
"3","25","0","5000","0.1","5","0","25","105","45","23","93069.98825213152"
"9","25","0","5000","0.1","5","0","25","105","45","27","13133.352784882783"
"2","25","0","5000","0.1","5","0","25","105","45","22","34167.42814126108"
"1","25","0","5000","0.1","5","0","25","105","45","22","56690.93157615499"
"5","25","0","5000","0.1","5","0","25","105","45","24","53005.590770053415"
"8","25","0","5000","0.1","5","0","25","105","45","20","34896.56949500238"
"9","25","0","5000","0.1","5","0","25","105","45","28","13619.77325839696"
"4","25","0","5000","0.1","5","0","25","105","45","23","45151.55781181909"
"3","25","0","5000","0.1","5","0","25","105","45","24","97116.50948048505"
"5","25","0","5000","0.1","5","0","25","105","45","25","55214.157052138966"
"7","25","0","5000","0.1","5","0","25","105","45","27","62293.29589240984"
"2","25","0","5000","0.1","5","0","25","105","45","23","35720.493056772946"
"9","25","0","5000","0.1","5","0","25","105","45","29","14106.193731911138"
"1","25","0","5000","0.1","5","0","25","105","45","23","52603.4177462931"
"4","25","0","5000","0.1","5","0","25","105","45","24","47114.66902102862"
"6","25","0","5000","0.1","5","0","25","105","45","26","69372.12388982775"
"5","25","0","5000","0.1","5","0","25","105","45","26","57422.72333422454"
"8","25","0","5000","0.1","5","0","25","105","45","21","36641.3979697525"
"3","25","0","5000","0.1","5","0","25","105","45","25","85179.94378356678"
"9","25","0","5000","0.1","5","0","25","105","45","30","14592.614205425316"
"4","25","0","5000","0.1","5","0","25","105","45","25","49077.780230238146"
"7","25","0","5000","0.1","5","0","25","105","45","28","64600.45499953615"
"2","25","0","5000","0.1","5","0","25","105","45","24","37273.55797228481"
"1","25","0","5000","0.1","5","0","25","105","45","24","54890.522865697145"
"8","25","0","5000","0.1","5","0","25","105","45","22","38386.226444502616"
"5","25","0","5000","0.1","5","0","25","105","45","27","59631.289616310096"
"6","25","0","5000","0.1","5","0","25","105","45","27","72040.28250097498"
"4","25","0","5000","0.1","5","0","25","105","45","26","51040.891439447674"
"9","25","0","5000","0.1","5","0","25","105","45","31","15079.03467893949"
"3","25","0","5000","0.1","5","0","25","105","45","26","88587.14153490948"
"1","25","0","5000","0.1","5","0","25","105","45","25","57177.627985101186"
"5","25","0","5000","0.1","5","0","25","105","45","28","61839.855898395654"
"7","25","0","5000","0.1","5","0","25","105","45","29","66907.61410666243"
"2","25","0","5000","0.1","5","0","25","105","45","25","38826.62288779668"
"4","25","0","5000","0.1","5","0","25","105","45","27","53004.00264865719"
"8","25","0","5000","0.1","5","0","25","105","45","23","40131.05491925273"
"9","25","0","5000","0.1","5","0","25","105","45","32","15565.45515245367"
"6","25","0","5000","0.1","5","0","25","105","45","28","74708.4411121222"
"3","25","0","5000","0.1","5","0","25","105","45","27","91994.33928625214"
"1","25","0","5000","0.1","5","0","25","105","45","26","56949.38063036624"
"7","25","0","5000","0.1","5","0","25","105","45","30","69214.7732137887"
"4","25","0","5000","0.1","5","0","25","105","45","28","54967.11385786672"
"2","25","0","5000","0.1","5","0","25","105","45","26","40379.687803308545"
"3","25","0","5000","0.1","5","0","25","105","45","28","57919.41745109889"
"8","25","0","5000","0.1","5","0","25","105","45","24","41875.883394002856"
"5","25","0","5000","0.1","5","0","25","105","45","29","64048.422180481226"
"9","25","0","5000","0.1","5","0","25","105","45","33","16051.875625967845"
"6","25","0","5000","0.1","5","0","25","105","45","29","77376.5997232694"
"1","25","0","5000","0.1","5","0","25","105","45","27","59139.74142384187"
"9","25","0","5000","0.1","5","0","25","105","45","34","16538.29609948202"
"5","25","0","5000","0.1","5","0","25","105","45","30","66256.98846256678"
"2","25","0","5000","0.1","5","0","25","105","45","27","40549.4394989504"
"7","25","0","5000","0.1","5","0","25","105","45","31","52641.05439277008"
"4","25","0","5000","0.1","5","0","25","105","45","29","56930.225067076244"
"3","25","0","5000","0.1","5","0","25","105","45","29","59987.968074352415"
"1","25","0","5000","0.1","5","0","25","105","45","28","61330.10221731749"
"9","25","0","5000","0.1","5","0","25","105","45","35","17024.7165729962"
"6","25","0","5000","0.1","5","0","25","105","45","30","80044.75833441665"
"8","25","0","5000","0.1","5","0","25","105","45","25","40581.989695613"
"4","25","0","5000","0.1","5","0","25","105","45","30","58893.33627628576"
"5","25","0","5000","0.1","5","0","25","105","45","31","50214.67763968955"
"8","25","0","5000","0.1","5","0","25","105","45","26","42205.26928343753"
"4","25","0","5000","0.1","5","0","25","105","45","31","60856.447485495286"
"3","25","0","5000","0.1","5","0","25","105","45","30","62056.518697605934"
"1","25","0","5000","0.1","5","0","25","105","45","29","63520.46301079311"
"6","25","0","5000","0.1","5","0","25","105","45","31","82712.91694556386"
"7","25","0","5000","0.1","5","0","25","105","45","32","54339.15292156911"
"8","25","0","5000","0.1","5","0","25","105","45","27","43828.54887126204"
"9","25","0","5000","0.1","5","0","25","105","45","36","17511.137046510376"
"4","25","0","5000","0.1","5","0","25","105","45","32","62819.558694704814"
"5","25","0","5000","0.1","5","0","25","105","45","32","51834.50595064728"
"2","25","0","5000","0.1","5","0","25","105","45","28","42051.270591504115"
"8","25","0","5000","0.1","5","0","25","105","45","28","45451.828459086566"
"6","25","0","5000","0.1","5","0","25","105","45","32","85381.07555671108"
"7","25","0","5000","0.1","5","0","25","105","45","33","56037.251450368145"
"3","25","0","5000","0.1","5","0","25","105","45","31","64125.069320859475"
"4","25","0","5000","0.1","5","0","25","105","45","33","55399.473935201604"
"1","25","0","5000","0.1","5","0","25","105","45","30","65710.82380426876"
"9","25","0","5000","0.1","5","0","25","105","45","37","17997.55752002455"
